## This file holds a list of aliases for each venue ##,
## One alias per line ##,
## Venue, Alias ##,
## The venue MUST exist in venues.csv ##,
Venue,Alias,
Aquinas College,Aquinas,
Curtin Stadium,Curtin,
ECU Mt. Lawley,ECU,
ECU Mt. Lawley,ECU Mount Lawley,
Geographe Leisure Centre,Geographe,
Geographe Leisure Centre,Geographe Leisure,
MBC,Mandurah Baptist College,
Methodist Ladies College,MLC,
Methodist Ladies College,Methodist L. Col,
Penrhos College,Penrhos,
UWA Recreation Centre,UWA Rec. Centre,
Warwick,Warwick Stadium,
Wesley College,Wesley,
